N,data_type,method,iterations,warmup,cpu_threads,requested_zero_probability,nnz_a,actual_sparsity_a,h2d_ms,h2d_stdev_ms,compute_ms,compute_stdev_ms,d2h_ms,d2h_stdev_ms,total_gpu_ms,total_gpu_stdev_ms,total_wall_ms,total_wall_stdev_ms,launch_overhead_us,launch_overhead_stdev_us,setup_ms,compute_gops,end_to_end_gops,verified,max_abs_error,max_rel_error,checked_elements,device_name,compute_capability,notes
768,int,cpu_naive,5,2,2,0,505898,0.142289903429,0,0,855.9232464,102.53977065,0,0,0,0,855.9232464,102.53977065,0,0,0,1.05847068392,1.05847068392,1,0,0,589824,Tesla T4,7.5,Native scalar triple-loop CPU implementation.
768,int,cpu_blocked_mt,5,2,2,0,505898,0.142289903429,0,0,158.4109344,15.8794569876,0,0,0,0,158.4109344,15.8794569876,0,0,0,5.7191106626,5.7191106626,1,0,0,589824,Tesla T4,7.5,Native blocked multi-threaded CPU implementation using std::thread; no BLAS library.
768,int,cuda_naive,5,2,2,0,505898,0.142289903429,0.404121601582,0.00613263347437,3.84637436867,0.00200862133463,0.185222399235,0.0023391459351,4.44627847672,0.00535227157746,4.4578266,0.0075011555538,4.3782,0.80015083578,4.12487,235.538607833,203.759091731,1,0,0,589824,Tesla T4,7.5,Native CUDA one-thread-per-output-element kernel.
768,int,cuda_tiled_shared,5,2,2,0,505898,0.142289903429,0.394163191319,0.00065910471839,2.46030077934,0.00121640303486,0.188422396779,0.00211145861455,3.05382404327,0.00063320022256,3.062133,0.000727211385137,4.0694,0.49496165508,3.145412,368.235327813,296.667277211,1,0,0,589824,Tesla T4,7.5,Native CUDA tiled kernel; 16x16 blocking and shared-memory reuse.
768,int,cublas_int_via_fp64,5,2,2,0,505898,0.142289903429,0.778963196278,0.00252655546185,9.52519683838,1.08949218337,0.366387200356,0.00260013720443,10.6836093903,1.08664885425,10.693974,1.08765959836,18.0846,5.13200844115,23.749315,95.1129598025,84.7999614087,1,0,0,589824,Tesla T4,7.5,INT32 emulation through FP64 cuBLAS DGEMM. Exact only while integer sums remain below 2^53; input range is intentionally small.
768,int,cusparse_int_via_fp64,5,2,2,0,505898,0.142289903429,0.895385599136,0.00135014073906,7.72639989853,0.00138515224375,0.369516795874,0.00223704303286,9.00156784058,0.00206351516771,9.0114862,0.00286901665599,14.3954,4.47482954312,19.715165,117.256377601,100.645763054,1,0,0,589824,Tesla T4,7.5,"INT32 emulation through FP64 cuSPARSE SpMM; integer values are converted to double. Host dense-to-CSR conversion is reported in setup_ms, not in CUDA-event total time."
1024,int,cpu_blocked_mt,5,2,2,0,898739,0.142895698547,0,0,365.0955044,7.64520522503,0,0,0,0,365.0955044,7.64520522503,0,0,0,5.8819777897,5.8819777897,1,0,0,1048576,Tesla T4,7.5,Native blocked multi-threaded CPU implementation using std::thread; no BLAS library.
1024,int,cuda_naive,5,2,2,0,898739,0.142895698547,0.696799993515,0.00683227036205,9.04931221008,0.00216995296464,0.328454399109,0.00261401864738,10.0848445892,0.00871828728261,10.0949024,0.00865392721444,6.0974,1.29075057234,7.160145,237.309046052,212.941669948,1,0,0,1048576,Tesla T4,7.5,Native CUDA one-thread-per-output-element kernel.
1024,int,cuda_tiled_shared,5,2,2,0,898739,0.142895698547,0.692070400715,0.00239376253592,5.82798719406,0.00100101406144,0.325798392296,0.00129580412872,6.85600633621,0.00341232452617,6.8652006,0.00338842013945,3.8464,0.3832146135,5.536312,368.477756813,313.226613671,1,0,0,1048576,Tesla T4,7.5,Native CUDA tiled kernel; 16x16 blocking and shared-memory reuse.
1024,int,cublas_int_via_fp64,5,2,2,0,898739,0.142895698547,1.37255039215,0.00339769535154,19.0183101654,0.000962159644031,0.645491218567,0.00300252213003,21.0462398529,0.00525864797085,21.0576286,0.00641422408985,22.932,5.42476097169,28.565742,112.916638194,102.03645226,1,0,0,1048576,Tesla T4,7.5,INT32 emulation through FP64 cuBLAS DGEMM. Exact only while integer sums remain below 2^53; input range is intentionally small.
